127.0.0.1, 2018-04-18 10:34:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 10:34:47, POST, /admin/default/index, HTTP/1.1, 303, 0.040000
127.0.0.1, 2018-04-18 10:34:47, GET, /admin/default/site, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-04-18 10:34:47, POST, /admin/default/check_version, HTTP/1.1, 200, 0.487000
127.0.0.1, 2018-04-18 10:34:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 11:02:51, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-04-18 11:02:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.250000
127.0.0.1, 2018-04-18 11:03:03, GET, /admin/default/index, HTTP/1.1, 303, 0.208000
127.0.0.1, 2018-04-18 11:03:03, GET, /admin/default/site, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-04-18 11:03:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 11:03:06, GET, /camphyr/default/index, HTTP/1.1, 500, 0.392000
127.0.0.1, 2018-04-18 11:03:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 11:03:10, GET, /admin/default/site, HTTP/1.1, 200, 0.088000
127.0.0.1, 2018-04-18 11:03:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/default/index, HTTP/1.1, 200, 0.104000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-18 11:03:11, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-18 11:03:12, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-18 11:03:12, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-18 11:03:12, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-18 11:03:12, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-18 11:03:14, GET, /admin/default/site, HTTP/1.1, 200, 0.104000
127.0.0.1, 2018-04-18 11:03:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 11:03:20, GET, /admin/default/errors/camphyr, HTTP/1.1, 200, 0.179000
127.0.0.1, 2018-04-18 11:03:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 11:16:17, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-04-18 11:16:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.284000
127.0.0.1, 2018-04-18 16:53:11, GET, /, HTTP/1.1, 303, 0.037000
127.0.0.1, 2018-04-18 16:53:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.275000
127.0.0.1, 2018-04-18 16:53:14, GET, /admin/default/index, HTTP/1.1, 200, 0.310000
127.0.0.1, 2018-04-18 16:53:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 16:53:17, POST, /admin/default/index, HTTP/1.1, 303, 0.036000
127.0.0.1, 2018-04-18 16:53:17, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2018-04-18 16:53:17, POST, /admin/default/check_version, HTTP/1.1, 200, 0.292000
127.0.0.1, 2018-04-18 16:53:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 16:53:28, GET, /AstroChat/default/index, HTTP/1.1, 500, 0.152000
127.0.0.1, 2018-04-18 16:53:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-18 17:21:49, GET, /, HTTP/1.1, 303, 0.016000
127.0.0.1, 2018-04-18 17:21:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.301000
127.0.0.1, 2018-04-18 17:21:50, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-18 17:21:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-18 17:21:50, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-18 17:21:50, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-18 17:21:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.012000
